Text Type,Institution Type,Rule/Norm/Strategy,Level of Analysis,Attribute_lo,Attribute_hi,Attribute_position,Deontic_lo,Deontic_hi,Deontic_position,aIm_lo,aIm_hi,aIm_position,oBject_lo,oBject_hi,oBject_position,Or Else_lo,Or Else_hi,Or Else_position,Condition_lo,Condition_hi,Condition_position
0.7,0.7,0.3,0.4,0.6,0.6,2.5,0.4,0.4,2.5,0.5,0.5,1.25,0.5,0.5,1.75,0.8,1.0,2.5,1.0,1.0,2.5
0.7,0.8,0.3,0.2,0.8,0.8,2.5,0.8,0.8,2.5,0.9,0.9,2.25,0.9,0.9,2.25,0.8,1.0,2.5,0.8,0.8,2.5
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.7,0.8,0.3,0.2,0.8,0.8,2.5,0.8,0.8,2.5,0.9,0.9,2.25,0.9,0.9,2.25,0.8,1.0,2.5,0.8,0.8,2.5
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
